record_id,measure_id,title,entity_type,jurisdiction_level,jurisdiction_state,session,congress,chamber,scope,primary_category,sponsor,sponsor_party,sponsor_state,cosponsor_count,committees,introduced_date,last_action_date,lifecycle_status,status,public_law_number,enacted_date,effective_date,responsible_agencies,implementation_status,advance_tier,summary,committee_dynamics,advance_rationale,official_url,last_verified_date,verification_level
ca-sb-1047-2024,CA SB 1047 (2024),Safe and Secure Innovation for Frontier Artificial Intelligence Models Act,bill,state,CA,2023-2024,,State legislature,Core,Frontier-model & national security,Scott Wiener,D,CA,,,2024-02-07,2024-09-29,vetoed,Vetoed by Governor,,,,,,N/A,Would have required developers of covered large AI models and certain compute providers to adopt safeguards and policies intended to prevent catastrophic harm and would have created a state frontier-model oversight body.,The bill passed both chambers but was vetoed; it remains important as the policy precursor to California SB 53.,Final disposition: vetoed.,https://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202320240SB1047,2026-09-20,Official legislature record and veto message verified.
ca-sb-53-2025,CA SB 53 (2025),Transparency in Frontier Artificial Intelligence Act,law,state,CA,2025-2026,,State legislature,Core,Frontier-model & national security,Scott Wiener,D,CA,,,2025-01-07,2025-09-29,enacted,"Chaptered — Chapter 138, Statutes of 2025",,2025-09-29,2026-01-01,California Office of Emergency Services; California Department of Technology; California Attorney General,in_progress,N/A,"Requires covered large frontier developers to publish safety frameworks, creates critical-safety-incident reporting to the state, protects specified whistleblowers, and establishes CalCompute-related public-compute planning.","California enacted a narrower successor to vetoed SB 1047, emphasizing disclosure, incident reporting, and whistleblower protection.",Enacted state law.,https://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202520260SB53,2026-09-20,Official legislature and governor sources verified.
co-sb-24-205,CO SB24-205,Consumer Protections for Artificial Intelligence,law,state,CO,2024 Regular Session,,State legislature,Adjacent,High-risk AI governance,Robert Rodriguez,D,CO,,"Senate Judiciary; House State, Civic, Military, and Veterans Affairs",2024-04-10,2024-05-17,enacted,Enacted — Chapter 198,,2024-05-17,2026-02-01,Colorado Attorney General,in_progress,N/A,"Requires developers and deployers of high-risk AI systems to use reasonable care against known or reasonably foreseeable algorithmic-discrimination risks, publish specified disclosures, complete impact assessments, and report certain discovered risks.","Colorado enacted the first broad U.S. state framework centered on consequential high-risk systems; it is included as an adjacent, enforceable risk-management law.",Enacted state law.,https://leg.colorado.gov/bills/sb24-205,2026-09-20,Official legislature source verified.
fy27-house-cjs-approp,FY27-HOUSE-CJS-APPROP,FY2027 House Commerce–Justice–Science Appropriations vehicle,bill,federal,,,,House,Vehicle,Appropriations implementation,,,,,House Appropriations,,2026-06-30,committee_consideration,Committee appropriations vehicle,,,,,,High,"The central implementation lever for NIST and CAISI evaluation, measurement, standards, and national-security testing capacity, including cyber, biosecurity, and chemical-risk work.","Authorization without funding may leave NIST or CAISI duties aspirational. Report language, transfers, rescissions, and final omnibus negotiations require version-specific tracking.","The vehicle directly controls federal evaluation and standards capacity, making it consequential even when policy language is modest.",,2026-09-01,"Vehicle-level source verified; exact bill number, section, and current stage require live refresh"
fy27-house-def-approp,FY27-HOUSE-DEF-APPROP,FY2027 House Defense Appropriations vehicle,bill,federal,,,,House,Vehicle,Appropriations implementation,,,,,House Appropriations,,2026-06-10,committee_consideration,Committee appropriations vehicle,,,,,,High,"Provides funding leverage over Department of Defense AI programs, testing, deployment safeguards, cybersecurity, and implementation of authorization provisions. It can also carry policy restrictions or reporting riders.","Appropriations text and report language can change rapidly between subcommittee, full committee, floor, continuing-resolution, omnibus, and conference stages. Every version should be archived and diffed.",Funding decisions determine whether defense AI safeguards are operational; appropriations remains a must-track implementation vehicle.,,2026-09-01,Vehicle-level source verified; exact bill number and current stage require live refresh
h-r-1736,H.R. 1736,Generative AI Terrorism Risk Assessment Act,bill,federal,,,,House,Core,"Monitoring, disclosure & reporting",August Pfluger,R,TX,3,Homeland Security Committee; Homeland Security and Governmental Affairs Committee,2025-02-27,2025-11-20,committee_advanced,Introduced / referred,,,,,,Medium,"Requires recurring Department of Homeland Security assessments of terrorist use of generative AI, including violent messaging and development or deployment of weapons.","The DHS reporting requirement is straightforward and could move in a homeland-security or authorization package, but it does not itself impose controls on model developers.","A targeted national-security assessment is amendment-friendly, though the standalone bill had not advanced publicly.",https://www.congress.gov/bill/119th-congress/house-bill/1736,2026-09-24,Official API metadata synchronized; human review pending
h-r-3029,H.R. 3029,"To amend the Research and Development, Competition, and Innovation Act to support nucleic acid screening, and for other purposes.",bill,federal,,,,House,Core,"Evaluation, testing & standards",Andrea Salinas,D,OR,3,"Commerce, Science, and Transportation Committee; Science, Space, and Technology Committee",2025-04-28,2026-07-21,committee_advanced,Reported by committee,,,,,,High,"Establishes a NIST-led consortium and technical standards or best practices for custom synthetic nucleic-acid screening, expressly including risks associated with AI. The reported authorization was $5 million annually for FY2026–FY2030.",The bill translates AI-enabled biological risk into a concrete screening and standards program. Reaching the House-report stage gives it a stronger procedural position than most standalone AI bills.,A filed House report and direct national-security/biosecurity rationale make material advancement comparatively likely.,https://www.congress.gov/bill/119th-congress/house-bill/3029,2026-09-24,Official API metadata synchronized; human review pending
h-r-3434,H.R. 3434,Protecting AI and Cloud Competition in Defense Act of 2025,bill,federal,,,,House,Adjacent,"Defense, intelligence & procurement",Pat Fallon,R,TX,3,Armed Services Committee,2025-05-15,2025-05-15,referred,Introduced / referred,,,,,,Medium,"Establishes Department of Defense procurement rules for cloud, data infrastructure, and foundation-model solutions, including security, resilience, competition, and government data interests.",The content is highly compatible with NDAA procurement titles and has a Senate analogue.,Its most realistic pathway is incorporation into NDAA rather than standalone enactment.,https://www.congress.gov/bill/119th-congress/house-bill/3434,2026-09-24,Official API metadata synchronized; human review pending
h-r-3447,H.R. 3447,Chip Security Act,bill,federal,,,,House,Adjacent,"Deterrence, export & foreign-adversary controls",Bill Huizenga,R,MI,42,Foreign Affairs Committee,2025-05-15,2026-03-26,committee_advanced,Introduced / referred,,,,,,Medium,Requires security mechanisms such as location verification and stronger reporting for licensees exporting covered advanced chips.,The bill sits in the same security/export-control lane as the model-theft legislation but had not achieved the latter’s committee vote.,Meaningful cosponsorship and a clear export-enforcement rationale create a plausible committee or package pathway.,https://www.congress.gov/bill/119th-congress/house-bill/3447,2026-09-24,Official API metadata synchronized; human review pending
h-r-3460,H.R. 3460,AI Whistleblower Protection Act,bill,federal,,,,House,Core,"Monitoring, disclosure & reporting",Jay Obernolte,R,CA,7,Education and Workforce Committee,2025-05-15,2025-05-15,referred,Introduced / referred,,,,,,Medium,Protects employees who report AI security vulnerabilities or legal violations and creates Department of Labor complaint and remedy mechanisms.,The labor-law mechanism places the bill outside the principal AI committees. Its sponsor’s leadership role on House Science may help integrate the concept into a wider bipartisan package.,"A concrete accountability mechanism and influential sponsor help, but jurisdiction and the absence of markup constrain the standalone path.",https://www.congress.gov/bill/119th-congress/house-bill/3460,2026-09-24,Official API metadata synchronized; human review pending
